field,hour,date,ts,air_temperature,air_humidity,air_pressure,rainfall
f5-f1,00,2025-10-11,2025-10-11 00:00:00+00:00,14.7175,74.5,,0.0
f5-f1,00,2025-10-12,2025-10-12 00:00:00+00:00,16.0025,76.0,,0.0
f5-f1,00,2025-10-13,2025-10-13 00:00:00+00:00,14.8625,82.5,,0.0
f5-f1,00,2025-10-14,2025-10-14 00:00:00+00:00,15.28,80.0,,0.0
f5-f1,00,2025-10-15,2025-10-15 00:00:00+00:00,15.0475,73.75,,0.0
f5-f1,00,2025-10-16,2025-10-16 00:00:00+00:00,11.8725,77.25,,0.0
f5-f1,00,2025-10-17,2025-10-17 00:00:00+00:00,11.6975,75.25,,0.0
f5-f1,00,2025-10-18,2025-10-18 00:00:00+00:00,12.065,61.75,,0.0
f5-f1,00,2025-10-19,2025-10-19 00:00:00+00:00,11.1925,65.25,,0.0
f5-f1,00,2025-10-20,2025-10-20 00:00:00+00:00,12.23,70.0,,0.0
f5-f1,00,2025-10-21,2025-10-21 00:00:00+00:00,12.06,90.25,,1.0
f5-f1,00,2025-10-22,2025-10-22 00:00:00+00:00,11.745,91.75,,0.0
f5-f1,00,2025-10-23,2025-10-23 00:00:00+00:00,12.3275,95.0,,0.0
f5-f1,01,2025-10-11,2025-10-11 01:00:00+00:00,15.9225,69.75,,0.0
f5-f1,01,2025-10-12,2025-10-12 01:00:00+00:00,15.3175,78.25,,0.0
f5-f1,01,2025-10-13,2025-10-13 01:00:00+00:00,14.765,82.75,,0.0
f5-f1,01,2025-10-14,2025-10-14 01:00:00+00:00,14.995,77.75,,0.0
f5-f1,01,2025-10-15,2025-10-15 01:00:00+00:00,14.2975,75.75,,0.0
f5-f1,01,2025-10-16,2025-10-16 01:00:00+00:00,12.06,77.25,,0.0
f5-f1,01,2025-10-17,2025-10-17 01:00:00+00:00,11.045,78.25,,0.0
f5-f1,01,2025-10-18,2025-10-18 01:00:00+00:00,11.8,62.25,,0.0
f5-f1,01,2025-10-19,2025-10-19 01:00:00+00:00,10.57,65.75,,0.0
f5-f1,01,2025-10-20,2025-10-20 01:00:00+00:00,11.83,71.75,,0.0
f5-f1,01,2025-10-21,2025-10-21 01:00:00+00:00,11.825,92.0,,0.2
f5-f1,01,2025-10-22,2025-10-22 01:00:00+00:00,11.525,91.75,,0.0
f5-f1,02,2025-10-11,2025-10-11 02:00:00+00:00,15.0175,73.25,,0.0
f5-f1,02,2025-10-12,2025-10-12 02:00:00+00:00,15.35,78.5,,0.0
f5-f1,02,2025-10-13,2025-10-13 02:00:00+00:00,14.83,80.25,,0.0
f5-f1,02,2025-10-14,2025-10-14 02:00:00+00:00,14.7725,76.25,,0.0
f5-f1,02,2025-10-15,2025-10-15 02:00:00+00:00,13.14,81.25,,0.0
f5-f1,02,2025-10-16,2025-10-16 02:00:00+00:00,12.0975,78.25,,0.0
f5-f1,02,2025-10-17,2025-10-17 02:00:00+00:00,10.9775,78.25,,0.0
f5-f1,02,2025-10-18,2025-10-18 02:00:00+00:00,11.5925,62.25,,0.0
f5-f1,02,2025-10-19,2025-10-19 02:00:00+00:00,10.71,66.0,,0.0
f5-f1,02,2025-10-20,2025-10-20 02:00:00+00:00,11.545,74.25,,0.0
f5-f1,02,2025-10-21,2025-10-21 02:00:00+00:00,11.7525,93.0,,0.0
f5-f1,02,2025-10-22,2025-10-22 02:00:00+00:00,11.3925,92.25,,0.0
f5-f1,03,2025-10-11,2025-10-11 03:00:00+00:00,14.8,74.25,,0.0
f5-f1,03,2025-10-12,2025-10-12 03:00:00+00:00,14.5275,81.25,,0.0
f5-f1,03,2025-10-13,2025-10-13 03:00:00+00:00,13.645,85.75,,0.0
f5-f1,03,2025-10-14,2025-10-14 03:00:00+00:00,13.4625,81.75,,0.0
f5-f1,03,2025-10-15,2025-10-15 03:00:00+00:00,12.8125,82.75,,0.0
f5-f1,03,2025-10-16,2025-10-16 03:00:00+00:00,11.765,77.5,,0.0
f5-f1,03,2025-10-17,2025-10-17 03:00:00+00:00,10.3025,80.75,,0.0
f5-f1,03,2025-10-18,2025-10-18 03:00:00+00:00,11.5325,62.75,,0.0
f5-f1,03,2025-10-19,2025-10-19 03:00:00+00:00,10.465,70.0,,0.0
f5-f1,03,2025-10-20,2025-10-20 03:00:00+00:00,11.315,75.5,,0.0
f5-f1,03,2025-10-21,2025-10-21 03:00:00+00:00,11.665,93.5,,0.8
f5-f1,03,2025-10-22,2025-10-22 03:00:00+00:00,11.4275,93.0,,0.0
f5-f1,04,2025-10-11,2025-10-11 04:00:00+00:00,14.3175,77.0,,0.0
f5-f1,04,2025-10-12,2025-10-12 04:00:00+00:00,13.4475,86.0,,0.0
f5-f1,04,2025-10-13,2025-10-13 04:00:00+00:00,13.615,85.5,,0.0
f5-f1,04,2025-10-14,2025-10-14 04:00:00+00:00,13.32,83.0,,0.0
f5-f1,04,2025-10-15,2025-10-15 04:00:00+00:00,12.7725,84.0,,0.0
f5-f1,04,2025-10-16,2025-10-16 04:00:00+00:00,11.2425,79.25,,0.0
f5-f1,04,2025-10-17,2025-10-17 04:00:00+00:00,9.88000000000002,81.75,,0.0
f5-f1,04,2025-10-18,2025-10-18 04:00:00+00:00,11.185,63.25,,0.0
f5-f1,04,2025-10-19,2025-10-19 04:00:00+00:00,10.17,74.0,,0.0
f5-f1,04,2025-10-20,2025-10-20 04:00:00+00:00,11.4625,74.75,,0.0
f5-f1,04,2025-10-21,2025-10-21 04:00:00+00:00,11.6225,94.0,,2.6
f5-f1,04,2025-10-22,2025-10-22 04:00:00+00:00,11.36,94.0,,0.0
f5-f1,05,2025-10-11,2025-10-11 05:00:00+00:00,14.22,77.25,,0.0
f5-f1,05,2025-10-12,2025-10-12 05:00:00+00:00,13.195,87.25,,0.0
f5-f1,05,2025-10-13,2025-10-13 05:00:00+00:00,14.275,82.75,,0.0
f5-f1,05,2025-10-14,2025-10-14 05:00:00+00:00,12.95,85.0,,0.0
f5-f1,05,2025-10-15,2025-10-15 05:00:00+00:00,12.7975,84.0,,0.0
f5-f1,05,2025-10-16,2025-10-16 05:00:00+00:00,11.505,78.75,,0.0
f5-f1,05,2025-10-17,2025-10-17 05:00:00+00:00,9.86250000000001,81.75,,0.0
f5-f1,05,2025-10-18,2025-10-18 05:00:00+00:00,10.96,64.5,,0.0
f5-f1,05,2025-10-19,2025-10-19 05:00:00+00:00,9.59000000000001,75.75,,0.0
f5-f1,05,2025-10-20,2025-10-20 05:00:00+00:00,11.5375,74.0,,0.0
f5-f1,05,2025-10-21,2025-10-21 05:00:00+00:00,11.6175,94.0,,0.2
f5-f1,05,2025-10-22,2025-10-22 05:00:00+00:00,11.3774999999999,94.0,,0.0
f5-f1,06,2025-10-11,2025-10-11 06:00:00+00:00,14.6275,76.5,,0.0
f5-f1,06,2025-10-12,2025-10-12 06:00:00+00:00,13.6066666666667,87.0,,0.0
f5-f1,06,2025-10-13,2025-10-13 06:00:00+00:00,14.76,81.0,,0.0
f5-f1,06,2025-10-14,2025-10-14 06:00:00+00:00,12.8966666666666,86.6666666666666,,0.0
f5-f1,06,2025-10-15,2025-10-15 06:00:00+00:00,13.32,84.0,,0.0
f5-f1,06,2025-10-16,2025-10-16 06:00:00+00:00,11.53,79.0,,0.0
f5-f1,06,2025-10-17,2025-10-17 06:00:00+00:00,10.2566666666666,80.0,,0.0
f5-f1,06,2025-10-19,2025-10-19 06:00:00+00:00,9.88500000000002,75.25,,0.0
f5-f1,06,2025-10-20,2025-10-20 06:00:00+00:00,11.515,74.25,,0.0
f5-f1,06,2025-10-21,2025-10-21 06:00:00+00:00,11.575,94.0,,1.59999999999999
f5-f1,06,2025-10-22,2025-10-22 06:00:00+00:00,11.6925,94.0,,0.0
f5-f1,07,2025-10-10,2025-10-10 07:00:00+00:00,,,,0.0
f5-f1,07,2025-10-11,2025-10-11 07:00:00+00:00,15.6266666666666,75.0,,0.0
f5-f1,07,2025-10-12,2025-10-12 07:00:00+00:00,14.455,84.0,,0.0
f5-f1,07,2025-10-13,2025-10-13 07:00:00+00:00,,,,0.0
f5-f1,07,2025-10-14,2025-10-14 07:00:00+00:00,14.585,83.5,,0.0
f5-f1,07,2025-10-15,2025-10-15 07:00:00+00:00,14.43,80.5,,0.0
f5-f1,07,2025-10-16,2025-10-16 07:00:00+00:00,12.335,78.0,,0.0
f5-f1,07,2025-10-17,2025-10-17 07:00:00+00:00,11.08,78.0,,0.0
f5-f1,07,2025-10-19,2025-10-19 07:00:00+00:00,11.7066666666666,70.3333333333333,,0.0
f5-f1,07,2025-10-20,2025-10-20 07:00:00+00:00,11.465,76.75,,0.0
f5-f1,07,2025-10-21,2025-10-21 07:00:00+00:00,11.24,94.0,,0.8
f5-f1,07,2025-10-22,2025-10-22 07:00:00+00:00,11.765,94.0,,0.0
f5-f1,08,2025-10-11,2025-10-11 08:00:00+00:00,,,,0.0
f5-f1,08,2025-10-12,2025-10-12 08:00:00+00:00,,,,0.0
f5-f1,08,2025-10-13,2025-10-13 08:00:00+00:00,,,,0.0
f5-f1,08,2025-10-14,2025-10-14 08:00:00+00:00,15.47,79.5,,0.0
f5-f1,08,2025-10-15,2025-10-15 08:00:00+00:00,,,,0.0
f5-f1,08,2025-10-16,2025-10-16 08:00:00+00:00,,,,0.0
f5-f1,08,2025-10-17,2025-10-17 08:00:00+00:00,,,,0.0
f5-f1,08,2025-10-19,2025-10-19 08:00:00+00:00,12.515,69.0,,0.0
f5-f1,08,2025-10-20,2025-10-20 08:00:00+00:00,12.425,80.25,,0.0
f5-f1,08,2025-10-21,2025-10-21 08:00:00+00:00,11.2975,94.0,,0.0
f5-f1,08,2025-10-22,2025-10-22 08:00:00+00:00,12.0675,94.5,,0.0
f5-f1,09,2025-10-11,2025-10-11 09:00:00+00:00,,,,0.0
f5-f1,09,2025-10-12,2025-10-12 09:00:00+00:00,,,,0.0
